问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,modules\Volo.Abp.Account\src\Volo.Abp.Account.Application.Contracts\Volo.Abp.Account.Application.Contracts.csproj,File,modules\Volo.Abp.Account\src\Volo.Abp.Account.Application.Contracts\Volo.Abp.Account.Application.Contracts.csproj,,,Microsoft.Extensions.FileProviders.Embedded 10.0.2,,,,,"Microsoft.Extensions.FileProviders.Embedded, 10.0.2  建议:  Remove Microsoft.Extensions.FileProviders.Embedded, and replace with new package Microsoft.Extensions.FileProviders.Embedded 10.0.3"
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,modules\Volo.Abp.Account\src\Volo.Abp.Account.Application.Contracts\Volo.Abp.Account.Application.Contracts.csproj,File,modules\Volo.Abp.Account\src\Volo.Abp.Account.Application.Contracts\Volo.Abp.Account.Application.Contracts.csproj,,,,,,,,当前目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0 建议的目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0;net10.0
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,modules\Volo.Abp.Account\src\Volo.Abp.Account.HttpApi.Client\Volo.Abp.Account.HttpApi.Client.csproj,File,modules\Volo.Abp.Account\src\Volo.Abp.Account.HttpApi.Client\Volo.Abp.Account.HttpApi.Client.csproj,,,,,,,,当前目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0 建议的目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0;net10.0
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Application.Contracts\Volo.Abp.FeatureManagement.Application.Contracts.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Application.Contracts\Volo.Abp.FeatureManagement.Application.Contracts.csproj,,,,,,,,当前目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0 建议的目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0;net10.0
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo.Abp.FeatureManagement.Domain.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo.Abp.FeatureManagement.Domain.csproj,,,,,,,,当前目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0 建议的目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo.Abp.FeatureManagement.Domain.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo\Abp\FeatureManagement\FeatureDynamicInitializer.cs,97,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Policy              .Handle<Exception>()              .WaitAndRetryAsync(                  8,                  retryAttempt => TimeSpan.FromSeconds(                      Volo.Abp.RandomHelper.GetRandom(                          (int)Math.Pow(2, retryAttempt) * 8,                          (int)Math.Pow(2, retryAttempt) * 12)                  )              )              .ExecuteAsync(async _ =>              {                  try                  {                      await staticFeatureSaver.SaveAsync();                  }                  catch (Exception ex)                  {                      Logger.LogException(ex);                      throw; // Polly will catch it                  }              }, cancellationToken);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo.Abp.FeatureManagement.Domain.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo\Abp\FeatureManagement\StaticFeatureSaver.cs,143,8,M:System.TimeSpan.FromDays(System.Double),,,,,"await Cache.SetStringAsync(              cacheKey,              currentHash,              new DistributedCacheEntryOptions {                  SlidingExpiration = TimeSpan.FromDays(30) //TODO: Make it configurable?              },              CancellationTokenProvider.Token          );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo.Abp.FeatureManagement.Domain.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo\Abp\FeatureManagement\StaticFeatureSaver.cs,115,24,M:System.TimeSpan.FromDays(System.Double),,,,,"await Cache.SetStringAsync(                              GetCommonStampCacheKey(),                              Guid.NewGuid().ToString(),                              new DistributedCacheEntryOptions {                                  SlidingExpiration = TimeSpan.FromDays(30) //TODO: Make it configurable?                              },                              CancellationTokenProvider.Token                          );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo.Abp.FeatureManagement.Domain.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo\Abp\FeatureManagement\StaticFeatureSaver.cs,96,8,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await using (var commonLockHandle = await DistributedLock.TryAcquireAsync(                           GetCommonDistributedLockKey(),                           TimeSpan.FromMinutes(5)))          {              if (commonLockHandle == null)              {                  /* It will re-try */                  throw new AbpException(""Could not acquire distributed lock for saving static features!"");              }                using (var unitOfWork = UnitOfWorkManager.Begin(requiresNew: true, isTransactional: true))              {                  try                  {                      var hasChangesInGroups = await UpdateChangedFeatureGroupsAsync(featureGroupRecords);                      var hasChangesInFeatures = await UpdateChangedFeaturesAsync(featureRecords);                        if (hasChangesInGroups ||hasChangesInFeatures)                      {                          await Cache.SetStringAsync(                              GetCommonStampCacheKey(),                              Guid.NewGuid().ToString(),                              new DistributedCacheEntryOptions {                                  SlidingExpiration = TimeSpan.FromDays(30) //TODO: Make it configurable?                              },                              CancellationTokenProvider.Token                          );                      }                  }                  catch                  {                      try                      {                          await unitOfWork.RollbackAsync();                      }                      catch                      {                          /* ignored */                      }                                            throw;                  }                    await unitOfWork.CompleteAsync();              }          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo.Abp.FeatureManagement.Domain.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo\Abp\FeatureManagement\DynamicFeatureDefinitionStore.cs,148,12,M:System.TimeSpan.FromDays(System.Double),,,,,"await DistributedCache.SetStringAsync(                  cacheKey,                  stampInDistributedCache,                  new DistributedCacheEntryOptions                  {                      SlidingExpiration = TimeSpan.FromDays(30) //TODO: Make it configurable?                  }              );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo.Abp.FeatureManagement.Domain.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain\Volo\Abp\FeatureManagement\DynamicFeatureDefinitionStore.cs,129,8,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await using (var commonLockHandle = await DistributedLock                           .TryAcquireAsync(GetCommonDistributedLockKey(), TimeSpan.FromMinutes(2)))          {              if (commonLockHandle == null)              {                  /* This request will fail */                  throw new AbpException(                      ""Could not acquire distributed lock for feature definition common stamp check!""                  );              }                stampInDistributedCache = await DistributedCache.GetStringAsync(cacheKey);              if (stampInDistributedCache != null)              {                  return stampInDistributedCache;              }                stampInDistributedCache = Guid.NewGuid().ToString();                await DistributedCache.SetStringAsync(                  cacheKey,                  stampInDistributedCache,                  new DistributedCacheEntryOptions                  {                      SlidingExpiration = TimeSpan.FromDays(30) //TODO: Make it configurable?                  }              );          }"
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,,,Microsoft.Extensions.FileProviders.Embedded 10.0.2,,,,,"Microsoft.Extensions.FileProviders.Embedded, 10.0.2  建议:  Remove Microsoft.Extensions.FileProviders.Embedded, and replace with new package Microsoft.Extensions.FileProviders.Embedded 10.0.3"
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,,,,,,,,当前目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0 建议的目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo\Abp\FeatureManagement\JsonConverters\SelectionStringValueItemSourceJsonConverter.cs,16,8,T:System.Text.Json.JsonDocument,,,,,var rootElement = JsonDocument.ParseValue(ref reader).RootElement;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo\Abp\FeatureManagement\JsonConverters\SelectionStringValueItemSourceJsonConverter.cs,16,8,T:System.Text.Json.JsonDocument,,,,,var rootElement = JsonDocument.ParseValue(ref reader).RootElement;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo\Abp\FeatureManagement\JsonConverters\StringValueTypeJsonConverter.cs,23,8,T:System.Text.Json.JsonDocument,,,,,var rootElement = JsonDocument.ParseValue(ref reader).RootElement;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo\Abp\FeatureManagement\JsonConverters\StringValueTypeJsonConverter.cs,23,8,T:System.Text.Json.JsonDocument,,,,,var rootElement = JsonDocument.ParseValue(ref reader).RootElement;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo\Abp\FeatureManagement\JsonConverters\ValueValidatorJsonConverter.cs,25,8,T:System.Text.Json.JsonDocument,,,,,var rootElement = JsonDocument.ParseValue(ref reader).RootElement;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo.Abp.FeatureManagement.Domain.Shared.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.Domain.Shared\Volo\Abp\FeatureManagement\JsonConverters\ValueValidatorJsonConverter.cs,25,8,T:System.Text.Json.JsonDocument,,,,,var rootElement = JsonDocument.ParseValue(ref reader).RootElement;
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.HttpApi.Client\Volo.Abp.FeatureManagement.HttpApi.Client.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.HttpApi.Client\Volo.Abp.FeatureManagement.HttpApi.Client.csproj,,,,,,,,当前目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0 建议的目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0;net10.0
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.MongoDB\Volo.Abp.FeatureManagement.MongoDB.csproj,File,modules\Volo.Abp.FeatureManagement\src\Volo.Abp.FeatureManagement.MongoDB\Volo.Abp.FeatureManagement.MongoDB.csproj,,,,,,,,当前目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0 建议的目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0;net10.0
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,modules\Volo.Abp.Identity\src\Volo.Abp.Identity.Application.Contracts\Volo.Abp.Identity.Application.Contracts.csproj,File,modules\Volo.Abp.Identity\src\Volo.Abp.Identity.Application.Contracts\Volo.Abp.Identity.Application.Contracts.csproj,,,,,,,,当前目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0 建议的目标框架: netstandard2.0;netstandard2.1;net8.0;net9.0;net10.0;net10.0
